Alloy,No,Component,Fraction,a,delta,Tm,D_Tm,Hmix,σHmix,Sid,Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus,D_Bulk,Phase,Phase_inshort
BNi3,2 ,B Ni,1 3,1.1395,0.1619,1883,268.47,-18.0000,2.5981,0.5623,1.9425,0.0563,8.2500,3.0311,"215,000,000,000",60.6218,IM,IM
B6CaNi11,3 ,B Ca Ni,6 1 11,1.1446,0.2468,1900.611111,345.27,-22.1358,2.9131,0.8277,1.9028,0.2271,7.2222,3.4890,"217,611,111,111",81.2083,IM,IM
BCoMo,3 ,B Co Mo,1 1 1,1.1447,0.2045,2337.333333,460.57,-28.0000,8.0346,1.0986,2.0267,0.1147,6.0000,2.4495,"243,333,333,333",57.9272,IM,IM
Be17Ti2,2 ,Be Ti,17 2,1.1632,0.0881,1600.105263,116.93,-11.3019,5.7383,0.3365,1.5668,0.0092,2.2105,0.6138,"127,894,736,842",6.1378,IM,IM
B3FeNd2,3 ,B Fe Nd,3 1 2,1.1635,0.3166,1907.166667,473.32,-41.1111,11.3102,1.0114,1.7050,0.4064,3.8333,1.8634,"199,000,000,000",129.4488,IM,IM
B6Ni21Sb2,3 ,B Ni Sb,6 21 2,1.1637,0.1519,1799.433103,348.25,-13.2699,6.5984,0.7441,1.9466,0.0593,8.2069,2.9406,"199,448,275,862",70.6422,IM,IM
B6Mn2Ni21,3 ,B Mn Ni,6 2 21,1.1650,0.1529,1841.862069,263.78,-17.8074,3.6638,0.7441,1.9121,0.1115,8.3448,2.8318,"204,827,586,207",60.7210,IM,IM
B2Co3Zr,3 ,B Co Zr,2 3 1,1.1660,0.2354,2021.333333,263.73,-45.4444,10.7039,1.0114,1.8417,0.2398,6.1667,2.8529,"208,472,222,222",87.8003,IM,IM
B6Co21V2,3 ,B Co V,6 21 2,1.1663,0.1523,1916.62069,243.70,-19.5767,3.4145,0.7441,1.8959,0.0967,7.4828,2.4999,"207,586,206,897",57.6347,IM,IM
B6Co21Sb2,3 ,B Co Sb,6 21 2,1.1673,0.1529,1828.398621,342.73,-12.6706,6.9379,0.7441,1.9248,0.0727,7.4828,2.4999,"199,448,275,862",70.6422,IM,IM
B6Ni21Ta2,3 ,B Ni Ta,6 21 2,1.1706,0.1580,1964,438.29,-23.2580,3.9005,0.7441,1.9086,0.1228,8.2069,2.9406,"210,344,827,586",56.2312,IM,IM
Al2B6Co20,3 ,Al B Co,2 6 20,1.1716,0.1616,1832.676429,343.00,-18.5714,3.1303,0.7589,1.8950,0.1023,7.2857,2.7105,"202,571,428,571",66.8065,IM,IM
B4InNi15,3 ,B In Ni,4 1 15,1.1765,0.1622,1787.0875,397.07,-13.3800,5.9695,0.6874,1.9295,0.0620,8.2500,3.0311,"200,666,500,000",67.5907,IM,IM
AlB2Ni7,3 ,Al B Ni,1 2 7,1.1794,0.1593,1772.547,371.51,-19.6000,3.2858,0.8018,1.9060,0.1112,7.9000,3.2078,"197,600,000,000",68.4970,IM,IM
B6Ni20Ti3,3 ,B Ni Ti,6 20 3,1.180206897,0.165267647,1878.310345,248.256278,-28.65160523,4.939410257,0.81691517,1.89862069,0.132397628,7.931034483,3.095391842,2.01724E+11,63.95413041,IM,IM
AuBe5,2 ,Au Be,1 5,1.1803,0.0991,1522.888333,82.98,0.0000,0.0000,0.4506,1.7317,0.3615,3.5000,3.3541,"145,000,000,000",33.5410,IM,IM
B6Hf2Ni21,3 ,B Hf Ni,6 2 21,1.1808,0.1713,1909.931034,296.94,-26.5398,5.9263,0.7441,1.8948,0.1701,8.1379,3.0255,"204,137,931,034",61.7290,IM,IM
FeSi2,2 ,Fe Si,1 2,1.1823,0.0351,1728.333333,58.45,-31.1111,1.8332,0.6365,1.8767,0.0330,5.3333,1.8856,"123,333,333,333",32.9983,IM,IM
B6Ni21Zr2,3 ,B Ni Zr,6 21 2,1.1825,0.1739,1883.862069,257.43,-28.2235,7.0950,0.7441,1.8969,0.1629,8.1379,3.0255,"201,436,781,609",66.4645,IM,IM
B6Ni21Sn2,3 ,B Ni Sn,6 21 2,1.183655172,0.175813149,1771.936552,425.1362644,-14.15457788,5.867272128,0.744129541,1.940344828,0.052422867,8.137931034,3.025456796,2.00552E+11,68.25893207,IM,IM
CrSi2,2 ,Cr Si,1 2,1.185,0.038189733,1851.333333,232.4024287,-32.88888889,1.937996363,0.636514168,1.82,0.113137085,4.666666667,0.942809042,1.2E+11,28.28427125,IM,IM
Fe81Si2B13Nb3Cu1,5 ,Fe Si B Nb Cu,81 2 13 3 1,1.1905,0.1238,1901.9677,240.89,-15.4872,5.6194,0.6654,1.8525,0.0834,7.2100,1.8182,"187,800,000,000",52.1072,BCC,SS
Co63Fe9Zr8B20,4 ,Co Fe Zr B,63 9 8 20,1.1921,0.1752,1916.67,236.03,-27.7244,9.0109,1.0317,1.8635,0.1711,7.3100,2.5365,"198,366,666,667",67.4170,AM,AM
B6Co20In3,3 ,B Co In,6 20 3,1.1938,0.1778,1749.560345,504.51,-10.1593,8.0816,0.8169,1.9028,0.0762,7.1379,2.7758,"193,792,758,621",78.0405,IM,IM
B2MgNi7,3 ,B Mg Ni,2 1 7,1.1963,0.1801,1771.5,373.89,-14.8800,4.7221,0.8018,1.8760,0.1955,7.8000,3.3705,"194,500,000,000",74.3791,IM,IM
FeSi2,2 ,Fe Si,1 1,1.1970,0.0368,1749,62.00,-35.0000,0.0000,0.6931,1.8650,0.0350,6.0000,2.0000,"135,000,000,000",35.0000,IM,IM
Fe73.5Si13.5B9Nb3Cu,5 ,Fe Si B Nb Cu,73.5 13.5 9 3 1,1.1972,0.1062,1866.2277,231.27,-24.0699,5.6738,0.8646,1.8522,0.0760,6.9500,1.9151,"173,750,000,000",51.7826,BCC,SS
Cr55Co24Nb7B14,4 ,Cr Co Nb B,55 24 7 14,1.2020,0.1337,2144.54,257.25,-19.7604,7.8318,1.1327,1.7618,0.1474,6.2300,1.8539,"187,900,000,000",53.9313,AM,AM
Cr50Co29Nb7B14,4 ,Cr Co Nb B,50 29 7 14,1.2021,0.1337,2123.94,269.77,-20.0244,8.0037,1.1670,1.7728,0.1476,6.3800,1.9482,"188,900,000,000",53.5891,AM,AM
Cr45Co34Nb7B14,4 ,Cr Co Nb B,45 34 7 14,1.2022,0.1337,2103.34,280.23,-20.2084,8.0900,1.1875,1.7838,0.1470,6.5300,2.0271,"189,900,000,000",53.2258,AM,AM
Be3Nb,2 ,Be Nb,3 1,1.2033,0.1083,1857.5,515.29,-18.7500,2.7063,0.5623,1.5775,0.0130,2.7500,1.2990,"140,000,000,000",17.3205,IM,IM
Si2V,2 ,Si V,2 1,1.2073,0.0636,1852.333333,233.82,-42.6667,2.5142,0.6365,1.8100,0.1273,4.3333,0.4714,"120,000,000,000",28.2843,IM,IM
Ni65Nb5Cr5Mo5P14B6,6 ,Ni Nb Cr Mo P B,65 5 5 5 14 6,1.2096,0.1070,1699.802,656.91,-28.9532,9.0459,1.1734,1.9415,0.1485,8.2300,2.4814,"165,740,000,000",71.5625,AM,AM
Fe2Si,2 ,Fe Si,2 1,1.211666667,0.034236807,1769.666667,58.45416058,-31.11111111,1.833239803,0.636514168,1.853333333,0.032998316,6.666666667,1.885618083,1.46667E+11,32.99831646,IM,IM
AlBe4Mn,3 ,Al Be Mn,1 4 1,1.2157,0.1038,1448.745,230.92,-6.5556,3.2241,0.8676,1.5733,0.0180,3.0000,1.8257,"119,333,333,333",19.7203,IM,IM
MoSi2,2 ,Mo Si,1 2,1.2230,0.0809,2090,569.93,-31.1111,1.8332,0.6365,1.9867,0.1226,4.6667,0.9428,"143,333,333,333",61.2826,IM,IM
